Object Name,Object Id,Feeder Name,Child Object,Child ID,Remarks,Cyient Comments
Pole,229027882,SHER2013,,,,
Pole,229025628,SHER2013,,,,
Pole,229025743,SHER2013,,,,
Pole,229025609,SHER2013,,,,
Pole,229026075,SHER2013,,,,
Pole,229023785,SHER2013,,,Error: No Record found for this ID,Merge down issue
Pole,229026854,SHER2013,,,,
Pole,229002404,SHER2013,,,,
Pole,229026863,SHER2013,,,,
Pole,229025658,SHER2013,,,,
Pole,229025726,SHER2013,,,,
Pole,438399373,SHER2013,,,,
Pole,229002409,SHER2013,,,,
Pole,229026342,SHER2013,,,,
Pole,230998397,SHER2013,,,Error: No Record found for this ID,Merge down issue
Pole,229025616,SHER2013,,,,
Pole,229026347,SHER2013,,,,
Pole,229025731,SHER2013,,,,
Pole,231266636,SHER2013,,,,
Pole,229026296,SHER2013,,,,
Pole,229026837,SHER2013,,,,
Pole,229027015,SHER2013,,,,
Pole,229026825,SHER2013,,,,
Pole,229025649,SHER2013,,,,
Pole,229025588,SHER2013,,,,
Pole,229026984,SHER2013,,,,
Pole,229027865,SHER2013,,,,
Pole,229023785,SHER2013,Pole Attachment,375259773,,
Pole,229023785,SHER2013,Pole Attachment,375259774,,
Pole,441767608,SHER2013,Pole Attachment,375260390,,
Pole,229025736,SHER2013,Pole Attachment,375260062,,
Pole,441767608,SHER2013,Pole Attachment,375260389,,
OH Transformer Bank,235998842,SHER2013,,,,
OH Transformer Bank,235999011,SHER2013,,,,
OH Transformer Bank,438399679,SHER2013,,,Error: No Record found for this ID,Merge down issue
OH Transformer Bank,237639673,SHER2013,,,,
OH Transformer Bank,438399211,SHER2013,,,Error: No Record found for this ID,Merge down issue
OH Transformer Bank Unit,438399700,SHER2013,,,Error: No Record found for this ID,Merge down issue
OH Transformer Bank,235999011,SHER2013,OH Transformer Bank Unit,235999022,,
OH Transformer Bank,237639673,SHER2013,OH Transformer Bank Unit,476510085,,
OH Transformer Bank Unit,438399706,SHER2013,,,Error: No Record found for this ID,Merge down issue
OH Transformer Bank,235998842,SHER2013,OH Transformer Bank Unit,235998853,,
OH Transformer Bank Unit,438399232,SHER2013,,,Error: No Record found for this ID,Merge down issue
OH Transformer Bank Unit,438399712,SHER2013,,,Error: No Record found for this ID,Merge down issue
UG Transformer,66682029,SHER2013,,,,
UG Transformer,66682052,SHER2013,,,,
UG Transformer,66682078,SHER2013,,,,
UG Transformer,66682078,SHER2013,UG Transformer Bank Unit,66682088,,
UG Transformer,66682029,SHER2013,UG Transformer Bank Unit,66682039,,
UG Transformer,66682052,SHER2013,UG Transformer Bank Unit,66682062,,
Lot Centroid,215695096,SHER2013,,,,
Distributed Generation,418417033,SHER2013,,,,
Area Light,238237601,SHER2013,,,,
Fault Indicator,425975875,SHER2013,,,,
Electric XY,82416753,SHER2013,,,,
Electric XY,82416481,SHER2013,,,,
Electric XY,83587937,SHER2013,,,,
Primary Structure Node,444093032,SHER2013,,,,
Primary Structure Node,94570622,SHER2013,,,,
Primary Structure Node,94570558,SHER2013,,,,
Primary Structure Node,444094408,SHER2013,,,,
Primary Structure Node,438399393,SHER2013,,,Error: No Record found for this ID,Merge down issue
Primary Structure Node,467667641,SHER2013,,,,
Primary Structure Node,94557514,SHER2013,,,,
Primary Structure Node,437850619,SHER2013,,,Error: No Record found for this ID,Merge down issue
Primary Structure Node,94571458,SHER2013,,,,
Primary Structure Node,94570314,SHER2013,,,,
Primary Structure Node,94571690,SHER2013,,,,
Primary Structure Node,94558230,SHER2013,,,,
Primary Structure Node,94571238,SHER2013,,,,
Primary Structure Node,438399805,SHER2013,,,,
Primary Structure Node,94571434,SHER2013,,,,
OH Fuse,66682122,SHER2013,,,,
OH Fuse,234125234,SHER2013,,,,
OH Fuse,234125266,SHER2013,,,,
OH Fuse,234125234,SHER2013,OH Fuse Unit,234125246,,
OH Fuse Unit,467667611,SHER2013,,,Error: No Record found for this ID,Merge down issue
OH Fuse,234125234,SHER2013,OH Fuse Unit,234125245,,
OH Fuse,234125234,SHER2013,OH Fuse Unit,234125244,,
OH Fuse,234125266,SHER2013,OH Fuse Unit,234125278,,
OH Fuse Unit,467667609,SHER2013,,,Error: No Record found for this ID,Merge down issue
OH Fuse,66682122,SHER2013,OH Fuse Unit,66682128,,
